comparison_group,variant,run_id,case_name,parameter_regime,iteration_id,cut_id,source_outage_vector,source_outage_active_lines,repeated_outage_flag,cut_signature_hash,repeated_cut_signature_flag,old_master_violation_at_source,post_cut_objective_change,first_stage_plan_changed,alpha_lambda_only_change,gamma_z_nonzero_count,gamma_n_sl_nonzero_count,gamma_n_fa_nonzero_count,phi_nonzero_count,cut_added,cut_addition_status
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,0,generated_cut_001,"{""line_01_02"":0,""line_02_03"":0,""line_02_19"":0,""line_03_04"":0,""line_03_23"":1,""line_04_05"":0,""line_05_06"":0,""line_06_07"":1,""line_06_26"":0,""line_07_08"":0,""line_08_09"":0,""line_09_10"":0,""line_10_11"":0,""line_11_12"":0,""line_12_13"":0,""line_13_14"":0,""line_14_15"":0,""line_15_16"":0,""line_16_17"":0,""line_17_18"":0,""line_19_20"":0,""line_20_21"":0,""line_21_22"":0,""line_23_24"":0,""line_24_25"":0,""line_26_27"":0,""line_27_28"":0,""line_28_29"":0,""line_29_30"":0,""line_30_31"":0,""line_31_32"":0,""line_32_33"":0}","[""line_03_23"",""line_06_07""]",False,f080454ac6a433bf,False,16575.030000000144,271.7509497497231,True,False,0,15,15,2,True,added
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,1,generated_cut_002,"{""line_01_02"":0,""line_02_03"":0,""line_02_19"":0,""line_03_04"":0,""line_03_23"":0,""line_04_05"":0,""line_05_06"":0,""line_06_07"":1,""line_06_26"":0,""line_07_08"":0,""line_08_09"":0,""line_09_10"":0,""line_10_11"":0,""line_11_12"":0,""line_12_13"":0,""line_13_14"":0,""line_14_15"":0,""line_15_16"":0,""line_16_17"":0,""line_17_18"":0,""line_19_20"":0,""line_20_21"":0,""line_21_22"":0,""line_23_24"":1,""line_24_25"":0,""line_26_27"":0,""line_27_28"":0,""line_28_29"":0,""line_29_30"":0,""line_30_31"":0,""line_31_32"":0,""line_32_33"":0}","[""line_06_07"",""line_23_24""]",False,b97b5ccccfe77b00,False,13818.64000000013,51.8442450594157,True,False,0,14,14,2,True,added
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,2,generated_cut_003,"{""line_01_02"":0,""line_02_03"":0,""line_02_19"":0,""line_03_04"":0,""line_03_23"":1,""line_04_05"":0,""line_05_06"":0,""line_06_07"":0,""line_06_26"":0,""line_07_08"":0,""line_08_09"":0,""line_09_10"":0,""line_10_11"":0,""line_11_12"":0,""line_12_13"":0,""line_13_14"":0,""line_14_15"":0,""line_15_16"":0,""line_16_17"":0,""line_17_18"":0,""line_19_20"":0,""line_20_21"":0,""line_21_22"":0,""line_23_24"":1,""line_24_25"":0,""line_26_27"":0,""line_27_28"":0,""line_28_29"":0,""line_29_30"":0,""line_30_31"":0,""line_31_32"":0,""line_32_33"":0}","[""line_03_23"",""line_23_24""]",False,0bea39619e7c4853,False,15098.5,166.0360380988568,True,False,0,3,3,2,True,added
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,3,generated_cut_004,"{""line_01_02"":0,""line_02_03"":0,""line_02_19"":0,""line_03_04"":0,""line_03_23"":0,""line_04_05"":0,""line_05_06"":0,""line_06_07"":0,""line_06_26"":0,""line_07_08"":0,""line_08_09"":0,""line_09_10"":1,""line_10_11"":0,""line_11_12"":0,""line_12_13"":0,""line_13_14"":0,""line_14_15"":0,""line_15_16"":0,""line_16_17"":0,""line_17_18"":0,""line_19_20"":0,""line_20_21"":0,""line_21_22"":0,""line_23_24"":1,""line_24_25"":0,""line_26_27"":0,""line_27_28"":0,""line_28_29"":0,""line_29_30"":0,""line_30_31"":0,""line_31_32"":0,""line_32_33"":0}","[""line_09_10"",""line_23_24""]",False,50f6afb918dd09f0,False,19454.900000000023,178.09203523769975,True,False,0,11,11,2,True,added
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,4,generated_cut_005,"{""line_01_02"":0,""line_02_03"":0,""line_02_19"":0,""line_03_04"":0,""line_03_23"":0,""line_04_05"":0,""line_05_06"":0,""line_06_07"":0,""line_06_26"":0,""line_07_08"":0,""line_08_09"":0,""line_09_10"":0,""line_10_11"":1,""line_11_12"":0,""line_12_13"":0,""line_13_14"":0,""line_14_15"":0,""line_15_16"":0,""line_16_17"":0,""line_17_18"":0,""line_19_20"":0,""line_20_21"":1,""line_21_22"":0,""line_23_24"":0,""line_24_25"":0,""line_26_27"":0,""line_27_28"":0,""line_28_29"":0,""line_29_30"":0,""line_30_31"":0,""line_31_32"":0,""line_32_33"":0}","[""line_10_11"",""line_20_21""]",False,9b34830e34588959,False,6363.820000000065,194.28060147725046,True,False,0,10,10,2,True,added
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,5,generated_cut_006,"{""line_01_02"":0,""line_02_03"":0,""line_02_19"":0,""line_03_04"":0,""line_03_23"":0,""line_04_05"":0,""line_05_06"":0,""line_06_07"":0,""line_06_26"":0,""line_07_08"":0,""line_08_09"":0,""line_09_10"":0,""line_10_11"":0,""line_11_12"":0,""line_12_13"":0,""line_13_14"":0,""line_14_15"":0,""line_15_16"":0,""line_16_17"":0,""line_17_18"":0,""line_19_20"":0,""line_20_21"":1,""line_21_22"":0,""line_23_24"":0,""line_24_25"":0,""line_26_27"":0,""line_27_28"":0,""line_28_29"":0,""line_29_30"":1,""line_30_31"":0,""line_31_32"":0,""line_32_33"":0}","[""line_20_21"",""line_29_30""]",False,cf5e4b53c7b4c3f5,False,7545.65000000014,20.449003817513585,True,False,0,6,6,2,True,added
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,6,generated_cut_007,"{""line_01_02"":0,""line_02_03"":0,""line_02_19"":0,""line_03_04"":0,""line_03_23"":0,""line_04_05"":0,""line_05_06"":0,""line_06_07"":0,""line_06_26"":0,""line_07_08"":0,""line_08_09"":0,""line_09_10"":0,""line_10_11"":1,""line_11_12"":0,""line_12_13"":1,""line_13_14"":0,""line_14_15"":0,""line_15_16"":0,""line_16_17"":0,""line_17_18"":0,""line_19_20"":0,""line_20_21"":0,""line_21_22"":0,""line_23_24"":0,""line_24_25"":0,""line_26_27"":0,""line_27_28"":0,""line_28_29"":0,""line_29_30"":0,""line_30_31"":0,""line_31_32"":0,""line_32_33"":0}","[""line_10_11"",""line_12_13""]",False,a8342697d32afe67,False,6363.799999998882,13.964125517755747,True,False,0,8,8,2,True,added
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,7,generated_cut_008,"{""line_01_02"":0,""line_02_03"":0,""line_02_19"":0,""line_03_04"":0,""line_03_23"":0,""line_04_05"":0,""line_05_06"":0,""line_06_07"":0,""line_06_26"":0,""line_07_08"":0,""line_08_09"":0,""line_09_10"":0,""line_10_11"":0,""line_11_12"":0,""line_12_13"":0,""line_13_14"":0,""line_14_15"":0,""line_15_16"":0,""line_16_17"":0,""line_17_18"":0,""line_19_20"":0,""line_20_21"":1,""line_21_22"":0,""line_23_24"":1,""line_24_25"":0,""line_26_27"":0,""line_27_28"":0,""line_28_29"":0,""line_29_30"":0,""line_30_31"":0,""line_31_32"":0,""line_32_33"":0}","[""line_20_21"",""line_23_24""]",False,bd4de226f9f8ff4c,False,5810.820000000182,9.891990043222904,True,False,0,4,4,2,True,added
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,8,generated_cut_009,"{""line_01_02"":0,""line_02_03"":0,""line_02_19"":0,""line_03_04"":0,""line_03_23"":0,""line_04_05"":0,""line_05_06"":0,""line_06_07"":0,""line_06_26"":0,""line_07_08"":0,""line_08_09"":0,""line_09_10"":0,""line_10_11"":0,""line_11_12"":0,""line_12_13"":0,""line_13_14"":0,""line_14_15"":0,""line_15_16"":0,""line_16_17"":0,""line_17_18"":0,""line_19_20"":0,""line_20_21"":0,""line_21_22"":0,""line_23_24"":1,""line_24_25"":0,""line_26_27"":0,""line_27_28"":0,""line_28_29"":0,""line_29_30"":1,""line_30_31"":0,""line_31_32"":0,""line_32_33"":0}","[""line_23_24"",""line_29_30""]",False,de9d8cea78e076bc,False,5076.080000000191,96.76901062950492,True,False,0,6,6,2,True,added
integrated_paper_like_exact_i10_k2_a1b1,improved,integrated_paper_like_exact_i10_k2_a1b1__improved,integrated_paper_like_exact,paper_like_exact,0,generated_cut_001,"{""line_01_02"":0,""line_02_03"":0,""line_02_19"":0,""line_03_04"":0,""line_03_23"":1,""line_04_05"":0,""line_05_06"":0,""line_06_07"":1,""line_06_26"":0,""line_07_08"":0,""line_08_09"":0,""line_09_10"":0,""line_10_11"":0,""line_11_12"":0,""line_12_13"":0,""line_13_14"":0,""line_14_15"":0,""line_15_16"":0,""line_16_17"":0,""line_17_18"":0,""line_19_20"":0,""line_20_21"":0,""line_21_22"":0,""line_23_24"":0,""line_24_25"":0,""line_26_27"":0,""line_27_28"":0,""line_28_29"":0,""line_29_30"":0,""line_30_31"":0,""line_31_32"":0,""line_32_33"":0}","[""line_03_23"",""line_06_07""]",False,f080454ac6a433bf,False,16575.030000000144,271.7509497497231,True,False,0,15,15,2,True,added
